Seizure Types,Hospitalization Events,Clinical Diagnoses,Diagnostic Procedures
Seizure,Hypoxia,Sinus bradycardia,CT of head without contrast
Prolonged seizure (>5 minutes),Apnea,Abnormal involuntary movement,Electroencephalogram (EEG)
Generalized tonic-clonic seizure,Epilepsy monitoring unit admission,Seizure,Video EEG
Infantile spasms,Pneumonia,Hyperexplexia,Echocardiography
Focal seizure,Seizure disorder,Apnea,Electrocardiogram
Complex partial seizure with impairment of consciousness,Planned admission,Breathholding spell,US scan of hip
Provoked seizure,Birth,Increased muscle tone,CT of head with contrast
Status epilepticus,Abnormal movement,Hyperkinesis,MRI of brain without contrast
Focal seizure with secondary generalization,Increased seizure frequency,Epilepsy,MRI of orbits without contrast
Focal seizure with impaired awareness,Term birth of newborn,Movement Disorder,Ambulatory EEG
Focal motor seizure,Status epilepticus,Constipation,Polysomnography
Febrile seizure,Vomiting,Sinus tachycardia,Videofluoroscopy swallow
Focal clonic seizure,Respiratory distress,Patent foramen ovale,Ultrasonography of head and neck
Myoclonic seizure,Dehydration,Decreased muscle tone,PET CT of brain
Clonic seizure,Urinary tract infectious disease,Delayed speech and language development,Upper gastrointestinal tract series
Tonic seizure,Acute viral disease,Developmental dysplasia of left hip,MRI of brain
Subclinical seizure,Respiratory failure,Hemangioma,Retrograde cystourethrogram
Generalized onset seizure,Acute respiratory failure,Cyanosis,Ultrasonography of bilateral kidneys
Unprovoked seizure,Electrolyte imbalance,Obstructive sleep apnea,MRI of brain with contrast
Multifocal seizures,Apparent life-threatening event in infant,Gastroesophageal reflux disease (GERD),CT of head and neck
Absence seizure,Admitted for observation,Laryngomalacia,CT of head
"Tonic seizures, refractory",Fever,Altered mental status,Ultrasonography of head by open fontanel acoustic window
Generalized tonic seizure,Hydrops,Global developmental delay,Continuous EEG
Unclassified seizure,Planned procedure,Feeding problem,Ultrasonography of lower limb
Atonic seizures,Epilepsy,Gross motor developmental delay,Magnetic resonance spectroscopy
Myoclonic-atonic seizure,Infection associated with implant,Cardiac arrhythmia,MRI of abdomen and pelvis
Myoclonic absence seizure,Cellulitis,Refractory epilepsy,MRI of chest without contrast
Epilepsy of infancy with migrating focal seizures,Infantile spasms,Torticollis,Single photon emission computed tomography of brain
Epileptic spasms,Altered mental status,Plagiocephaly,Sleep EEG
Atypical absence seizure,Gastrointestinal hemorrhage,Hypotonia,Endoscopy of nose
Myoclonic-tonic seizure,Acute upper respiratory infection,Infantile spasms,Magnetic resonance spectroscopy of brain without contrast
Generalized clonic seizure,Aspiration pneumonia,Poor visual tracking,Electromyography
,Sepsis,Stereotypy,Nerve conduction study
,Prematurity of infant,Cerebral palsy,Laryngoscopy
,Hypoglycemia,Feeding difficulty,Radionuclide gastric emptying study
,Choking,Epileptic spasms,US scan of bladder
,Hyponatremia,Myopia,PH reflux test
,Brief resolved unexplained event,Alternating esotropia,Electroretinography
,Accidental overdose,Astigmatism,MRI of brain and brain stem without contrast
,Intolerance to food,Cortical visual impairment,MRS of head
,Overdose,Slow weight gain,CT of brain without contrast
,Hypertension,Vomiting,Ultrasonography of abdomen
,Irritability,Chronic otitis media,Ultrasonography of liver
,Preterm birth,Irritability,Holter extended electrocardiographic recording
,Cardiopulmonary arrest,Abnormal gait,Diffusion weighted magnetic resonance imaging of brain
,Acute viral bronchiolitis,Hydronephrosis,Radiography for bone age studies
,Viral infection,Nystagmus,CT of chest
,,Postural plagiocephaly,Voiding urethrocystography
,,Dysmorphic features,Auditory brainstem electric response audiometry
,,Muscle weakness,Oto-acoustic emission test
,,Dysphagia,Audiogram
,,Dysfunction of eustachian tube,Tympanometry testing
,,Pulmonary aspiration,US scan of spine
,,Hypertrophy of tonsils AND adenoids,MRI of lumbar spine with contrast
,,Injury of head,MRI of pelvis with contrast
,,Unprovoked seizure,MRI of pelvis without contrast
,,Self-injurious behavior,Esophagogastroduodenoscopy (EGD)
,,Localization-related epilepsy,Endoscopy and biopsy of upper gastrointestinal tract
,,Seizure free,Fiberoptic bronchoscopy and biopsy
,,Abnormal behavior,MR angiography of head and brain without contrast
,,Acute respiratory failure,Biopsy of muscle
,,Meningoencephalitis,Fluoroscopy using contrast
,,Dependence on supplemental oxygen,MRI of head and spine
,,Cardiomegaly,Barium swallow
,,Dependence on continuous positive airway pressure ventilation,Fiberoptic bronchoscopy
,,Dependency on feeding tube,Nasal sinus endoscopy
,,Subarachnoid hemorrhage,"CT of chest, abdomen and pelvis"
,,Cerebral hemorrhage,Biopsy of duodenum
,,Myoclonus,Ultrasonography of intestine
,,Tremor,Visual evoked potential study
,,Dependency on total parenteral nutrition,CT of abdomen
,,Dextrocardia,Ultrasonography of left breast
,,Prolonged QT interval,Ultrasonography of pelvis and lower extremity
,,Hypoplasia of the optic nerve,MRI of lumbar and sacral spine
,,Chorea,MRI venography
,,Atelectasis,Ultrasonography of upper limb
,,Upper gastrointestinal bleeding,Ultrasonography of groin and scrotum
,,Phimosis,MRI of orbit with contrast
,,Mixed muscle tone,Biopsy of colon
,,Macrocephaly,Colonoscopy
,,Amblyopia,MRI of brain with functional imaging
,,Lethargy,Fluoroscopic cystourethrography
,,Sialorrhea,US scan of gallbladder
,,Hypermetropia,CT of abdomen and pelvis
,,Hematemesis,MRI of lumbar spine without contrast
,,Chronic constipation,Biopsy of skin
,,Spastic quadriplegia,Biopsy of skeletal muscle
,,Dependence on ventilator,Contrast enema
,,Hypertrophy of adenoids,Gastroesophageal reflux study
,,Snoring,Nasal laryngoscopy
,,Pulmonary edema,
,,Anemia,
,,Thrombocytopenia,
,,Respiratory insufficiency,
,,Respiratory distress,
,,Exotropia,
,,Abnormal weight gain,
,,Oral aversion,
,,Recurrent aspiration pneumonia,
,,Insomnia,
,,Bruxism,
,,Problem behavior,
,,Overweight,
,,Intellectual disability,
,,Chronic pulmonary aspiration,
,,Cushingoid facies,
,,Ineffective airway clearance,
,,Unintentional weight loss,
,,Clostridioides difficile infection,
,,Serum bicarbonate below reference range,
,,Disturbance in sleep behavior,
,,Reactive airway disease,
,,Pleural effusion,
,,Respiratory failure,
,,Dependence on biphasic positive airway pressure ventilation,
,,Ptosis,
,,Staring spell,
,,Low blood pressure (hypotension),
,,Retention of urine,
,,Septic shock,
,,Neurogenic bladder,
,,Neurogenic bowel,
,,Chronic lung disease,
,,Speech delay,
,,Feeling agitated,
,,Developmental regression associated with seizure,
,,Seizure free for 1 year,
,,Chronic cough,
,,Sensory integration disorder,
,,Expressive language delay,
,,Generalized epilepsy,
,,Decreased level of consciousness,
,,Heart murmur,
,,Ohtahara syndrome,
,,Appendicular hypertonia,
,,Central sleep apnea,
,,Chronic respiratory failure,
,,Dysconjugate gaze,
,,Tongue tie,
,,Hematochezia,
,,Intolerance to food,
,,Intermittent esotropia,
,,Intermittent tremor,
,,Coordination problem,
,,Fine motor impairment,
,,Sleep disorder,
,,Nonspecific paroxysmal spell,
,,Hypoxic ischemic encephalopathy,
,,Cardiac arrest,
,,Disorder of autonomic nervous system,
,,Spasticity,
,,Hepatic steatosis,
,,Developmental regression associated with hospitalization,
,,Inspiratory stridor,
,,Neuromuscular scoliosis,
,,Prematurity of infant,
,,Provoked seizure,
,,Dislocation of bilateral hip joints,
,,Scoliosis deformity of spine,
,,Left ventricular hypertrophy,
,,Hypertrophic cardiomyopathy,
,,Aplastic anemia,
,,Osteopenia,
,,Talipes equinovarus,
,,Edema of lower extremity,
,,Inguinal hernia,
